Dirección,Precio USD,Terreno m2
J. Doldán 5900,13000,135.0
Carlos de la Peña 400,14000,206.0
Libertad 3800 Manzana 4 Escalera 15 3800,14000,377.0
Aguado 7400 Mbk 7 7400,15000,200.0
Calle José Pedroni 6600,15000,170.0
Fo.na.vi. Centenario 0,15000,217.0
Roque Sáenz Peña 1400,15000,132.0
Avenida Blas Parera 7300,16000,432.0
Calle Hipólito Irigoyen 3900,20000,280.0
Berutti 3500,21000,237.0
"Santa Fe, Santa Fe 0",22000,426.0
Entre Bvs 1000,22000,202.0
Eva Perón 2200,22000,163.0
Diagonal Cervera 6500,22000,296.0
13 0,22500,350.94
Córdoba 1400,23000,191.0
9 de Julio 2200,23000,128.67
Pasaje Alfonso 6400,23000,280.0
Azcuénaga 5600,23000,223.0
Regimiento 12 de Infantería 4500,23000,162.4
Chiclana 8600,24000,130.0
Juan Díaz de Solís 6500,25000,198.0
Juan Lavalle 2100,25000,280.0
Crespo 3500,25000,162.4
Regis Martínez 3800,25000,100.54
Azcuénaga 5400,25000,225.0
Entre Boulevares 0,25000,132.0
Pedro Centeno 3800,26000,230.0
Pasaje Puerto Argentino 4300,26000,145.0
Luis Leon de los Santos y Seguí 0,27000,396.0
Saavedra 2000,27000,203.02
Entre Bvs 1000,27000,204.99
Diagonal Cervera 6700,27000,169.0
Padre Genesio 1900,27000,125.0
Urquiza 1000,27000,256.0
Llerena 3500,27000,432.0
Europa 10487 10400,28500,199.9
Boulevard Gálvez 100,29000,172.0
Calle Río Negro 6800,29000,234.0
Zavalla 1800,29000,200.0
Heroes de Malvinas 3800,30000,284.0
Sarmiento 3300,30000,200.0
Callee N 18 y Pasaje 45 Bis 3000,30000,281.0
Balacarce - Monoblock V 0,30000,204.0
Radio Constructivo Pilay 0,30000,300.0
Domingo Silva 4000,30000,367.0
Florencio Fernández 5900,30000,149.67
12 de Septiembre 3800,30000,203.0
Padre Genesio 1900,30000,200.0
Monseñor Zazpe 3200,30000,400.0
Los Chañares 300,32000,203.0
Pje Luciano Leiva 7500,32000,200.0
Pasaje Denis 7100,32000,149.67
Pje.s/n 3900,32000,198.0
Pje Koch 1100,32000,121.0
José Quintana 2800,34000,353.0
9 de Julio 2200,34000,269.37
Entre Ríos 4700,34000,432.0
Misiones 5800,34000,164.0
Entre Boulevares 0,35000,402.0
Calle 16 0,35000,333.0
J J Paso 3800,35000,600.0
Calle E 0,35000,215.0
Monseñor Zaspe 3200,35000,219.5
Lavalle 7300,35000,353.0
Juan Díaz de Solís 3000,35000,884.12
Corrientes 900,35000,152.0
Corrientes 1100,35000,600.0
J J Paso 3800,35000,164.0
Juan Díaz de Solís 3000,35000,402.0
Calle E 0,35000,330.0
Servando Bayo 8500,35000,126.0
Mendez 5600,35000,302.0
Juan Lavalle 2100,35000,52.01
Castelli 1900,36000,118.0
Gaboto 1600,36000,510.0
Monseñor Zazpe 3900,36000,351.0
Dentro de los Boulevares 0,36000,313.0
Dr Luis Agote 0,37000,37.3
Juan José Paso 1100,37000,185.0
Calle 16 3600,37500,144.0
Gorostiaga 1600,38000,29.0
Gaboto 1600,38000,65.0
Doctor Zavalla 7100,38000,600.0
Pasaje Alfonso 3000,38000,63.0
Gorostiaga 1600,38000,37.3
Los Pinos 500,38000,222.0
Gaboto 1600,38000,63.0
Marcial Candioti 5900,38000,187.0
República de Siria 3500,38000,244.0
Pasaje Barros 3300,39000,948.0
11 de Marzo 5400,39000,293.0
La Rioja 3300,39000,220.42
Alberdi 6100,39000,98.0
3 de Febrero 1600,39000,176.0
Javier de la Rosa 1300,39000,500.0
Laprida 200,39000,206.0
San Lorenzo 5600,39000,200.0
Grandoli 9500,39000,173.0
Salta 2500,39900,240.0
Presbitero Luis V.dusso 6600,40000,108.0
Córdoba 1500,40000,1361.0
Arroyo Leyes 100,40000,135.0
Padre Catena 4000,40000,380.0
Belgrano 4600,40000,157.86
"Calle los Zorzales, Barrio Cazadores 0",40000,110.0
Juan Díaz de Solís 2400,40000,304.25
La Rioja 2000,40000,97.0
Obispo Gelabert 3900,40000,895.0
Juan Diaz de Solis 3000,40000,480.0
Entre Rios 3600,40000,200.0
Necochea 5900,40000,881.33
Presbitero Luis V.dusso 6600,40000,240.0
Santiago de Chile 1400,40500,168.0
Las Acacias 10500,41000,243.0
Almaraz 4800,41500,432.0
Martín Zapata 2000,41500,145.0
Juan de Garay 3900,42000,97.0
Pasaje Paraná 3800,42000,205.0
Glisinas 0,42000,335.0
Juan Larrea 2100,42000,174.0
Derqui 2200,42000,144.48
Vera Mujica 400,42000,305.0
Alberti 3700,42000,184.0
Alberdi 5500,42000,190.0
Aguado 2200,42000,220.0
Celia Ortiz de Montoya - Manzana 14 0,43000,170.0
San Lorenzo 1000,43000,78.1
Santiago de Chile 2400,43000,120.0
D. French 4900,43000,125.0
Matheu 1000,43000,145.0
Vera Mujica 700,43000,154.2
Roque Sáenz Peña 1800,43000,120.0
Corrientes 1500,44000,136.0
Iturraspe 2400,44500,167.0
San Martín 1800,44500,116.0
Los Nogales 2600,45000,230.0
Centenario 2500,45000,292.0
9 de Julio 6800,45000,341.0
Espora 3100,45000,111.0
Las Heras 9400,45000,675.0
Santa Rosa de Lima 0,45000,238.0
Entre Boulevares. 0,45000,200.0
Pavón 2600,45000,217.0
Boulevard los Carolinos 3000,45000,134.0
Obispo Gelabert 1800,45000,231.0
Vélez Sarsfield 3600,45000,214.0
Calle Desconocida  0,45000,167.0
Los Nogales 2600,45000,130.0
Alberdi 2000,45000,70.0
Pedro Espinosa 100,45000,134.0
Alberti 3500,45000,357.0
Espora 3100,45000,165.0
Obispo Gelabert 1800,45000,60.0
Entre Boulevares. 0,45000,231.0
Pasaje L. M. Drago 3600,45000,395.0
1º de Mayo 5300,45000,166.0
Zavalla 1900,45000,116.0
Roverano 3100,45000,270.0
Avenida Freyre 1700,45000,118.0
Belgrano 4700,45000,217.0
Entre Bv 0,46000,400.0
La Plata 3500,46000,97.0
Gaboto 1400,46000,115.0
Juan de Garay 3900,46000,272.0
Bv 0,47000,674.0
Pedro Vittori 3500,47000,268.0
Calle Gozzarelli 5700,47000,238.0
Velez Sarsfield 6700,47000,143.0
Ituzaingo 900,47000,380.0
Alfonsina Storni 2900,48000,216.0
Calle Hipólito Irigoyen 2600,48000,100.0
Obispo Boneo 3800,48000,200.0
Ecuador 3700,48000,107.0
San José 900,48000,200.0
25 de Mayo 1200,48000,181.0
Obispo Gelabert 1800,48000,200.0
Saavedra 2400,48000,314.0
Pje. Publico Sin Nombre 8800,48000,450.0
Pasaje Arzamendia 5900,49000,413.0
Eva Peron 2200,49000,217.0
Catamarca 3300,49000,46.97
Artigas 3600,49000,277.0
135 0,49000,189.0
Calle Europa 6900,49000,145.0
Autopista Rosario Santa Fe - Km 150. 0,49000,175.0
Córdoba 1200,50000,106.0
Centenera 4000,50000,160.0
Pje. Calcuta 700,50000,281.0
Uruguay 2700,50000,131.0
O. Boneo 2600,50000,432.0
Francisco Ponzio 300,50000,175.0
Avenida General Paz 7300,50000,131.0
Hipolito Irigoyen 2600,50000,290.0
Espora 1800,50000,112.0
Mitre 5700,50000,150.0
Manzana 13 Vivienda 21  el Pozo 0,50000,106.0
Alsina 4000,52000,53.64
Necochea 6600,52000,150.0
República de Siria 3700,52000,112.0
Ángel Cassanello 3500,52000,208.0
Castelli 1300,52000,294.18
Monteagudo 4400,52000,300.0
Avenida Juan José Paso 2900,52000,195.0
Pasaje Arzamendia 5900,52000,576.0
1 de Mayo 4500,52000,433.0
Saavedra 1100,54000,433.0
Pasaje Arzamendia 5900,54000,300.0
Fray Cayetano Rodríguez 3800,54000,162.0
Pasaje Arzamendia 5900,54000,1650.0
Gobernador Crespo 3200,54000,339.0
Calle Malaver 4600,54000,480.0
Gaboto 2400,55000,128.0
Alvear 4800,55000,168.0
San Juan 1500,55000,180.0
9 0,55000,228.0
4 de Enero 2100,55000,200.0
Gaboto 2400,55000,150.0
Ignacio Risso 1000,55000,390.0
Callejon Villalba 9900,55000,750.0
Boulevard los Carolinos 3000,55000,168.0
La Paz 3600,55000,131.0
Pasaje Fray Luis Beltrán 4500,55000,562.0
Juan de Garay 5100,55000,153.0
J. de Dios Mena 1800,55000,180.0
Lisandro de la Torre 1600,55000,162.0
Hernandarias 3700,55000,401.5
Gral Paz 6500,55000,261.0
Pasaje Arzamendia 5900,56000,176.0
Canadá 1000,56000,350.0
Manuel Leiva 4800,56000,186.0
Juan José Paso 2900,56000,260.0
Diagonal Hipólito Irigoyen 900,56000,204.0
Iturraspe 2000,56000,568.0
Beruti 4900,56000,335.0
Calle Presidente Bartolomé Mitre 1200,57000,254.0
Jose Macias 2500,57000,175.0
Sargento Cabral 300,57000,190.0
Castelli 2300,58000,230.0
Rivadavia 7700,58000,175.0
Belgrano 6500,58000,185.0
7 de Marzo 1900,58000,210.18
4 de Enero 2300,58000,108.0
Mitre 5700,58000,148.0
Presbitero Luis V.dusso 7800,58000,313.0
Necochea 4800,58000,206.0
Juan de Garay 4000,58000,174.97
Pasaje Romero 9300,59000,828.0
Mitre 5700,59000,110.9
Rivadavia 2600,59000,288.0
López y Planes 3200,59000,900.0
Buenos Aires 1800,59000,50.0
Catamarca 3700,59800,234.0
Avenida General Paz 7700,59900,202.0
Primera Junta 3300,59900,305.0
Urquiza 7300,59900,283.0
Juan de Garay 2500,60000,711.0
Vera Mujica 500,60000,129.0
Calle Desconocida  0,60000,1140.0
Domingo Silva 2300,60000,193.0
Padilla 3300,60000,1000.0
Calle Palo Borracho 3200,60000,63.85
Pje. Paraná 3800,60000,750.0
Mosconi 4700,60000,409.16
J.h. Vieytes 1900,60000,200.0
Calle 15 0,60000,178.0
Pedro Ferré 2900,60000,156.0
Pasaje Hernández 2600,60000,178.0
Pasaje Andrade 3300,60000,432.0
Pasaje Maipú 3100,60000,147.0
Pedro Zenteno 3200,60000,450.0
Mosconi 4700,60000,423.0
J.h. Vieytes 1900,60000,298.0
Luciano Torrent 3100,60480,200.0
Salvador Caputto 3500,61000,173.2
Regimiento 12 de Infantería 200,61000,60.0
Córdoba 3100,63000,184.6
Belgrano 2600,63000,675.0
Alvear y Ruperto Godoy 5600,63000,87.0
La Rioja 2900,63000,160.0
25 de Mayo 2800,63000,296.59
Carlos Acuña Ramos Mejía 1700,63000,210.0
Pedro Zenteno 2400,63500,275.0
Doctor Zavalla 2800,64000,167.0
Sarmiento 4000,64000,200.0
Obispo Gelabert 3800,65000,200.0
Facundo Zuviria 7200,65000,364.0
Pasaje Andrade 3300,65000,167.0
Beruti 5400,65000,160.0
Las Heras 4900,65000,500.0
Juan Castelli 3700,65000,103.0
Hernandarias 2200,65000,217.0
9 de Julio 1200,65000,150.0
Necochea 2700,65000,337.2
Alvear 8200,65000,656.0
Alberdi 2700,65000,180.0
Castelli 3400,65000,238.0
4 de Enero 2200,65000,296.59
Ambere 1500,65000,339.0
Alberdi 6700,65000,390.0
Regimiento 12 de Infantería 1500,65000,172.1
Pasaje Ingenieros 4900,65000,103.0
Pasaje Publico 3800,65000,187.0
Lavaisse 3100,65000,210.0
Alvear 8200,65000,662.0
Entre Boulevares 0,65000,240.0
San Jeronimo 1900,65000,217.56
7 de Marzo 2400,65000,330.0
Regis Martínez 1700,65000,200.0
Alberdi 2700,65000,231.0
Pje Huergo 2900,65000,389.0
19 de Marzo 600,65000,303.0
Zavalla 1800,67000,250.0
Estados Unidos 2400,68000,625.0
Cordoba 2000,68000,315.0
Calle Presbitero Martínez 1000,68000,261.0
4 de Enero 7300,68000,176.0
"25 de Mayo, 1600",68000,134.0
Candido Pujato 2900,68000,576.97
Ruta Nacional 80 y Jr Gudiño Laguna Paiva 1600,68000,345.0
Pasaje España 4300,68000,226.0
Monseñor Zazpe 2400,68000,311.0
Lavaisse 4400,68000,56.0
La Rioja 3300,68500,550.0
Candido Pujato 2800,69000,528.29
Santa Rosa 2900,69000,156.0
Pedro Zenteno 2400,69000,311.0
Eva Perón 2600,69000,13.6
Martín Zapata 1000,69000,92.88
Sarmiento 7400,69000,450.0
Belgrano 4500,69000,395.0
Brigadier Lopez 2000,69000,233.0
Pavón 1000,69000,190.0
Domingo Silva 1200,70000,217.0
9 de Julio 2900,70000,450.0
Laprida 3500,70000,480.0
Alberdi 2200,70000,161.0
Boulevard Las Palmeras 0,70000,190.0
Los Domadores 0,70000,734.0
Martín Zapata 2700,70000,1002.0
Suipacha 2100,70000,570.0
Dorrego 6100,70000,195.0
Las Heras 4900,70000,143.0
Calle los Alisos 5700,70000,94.8
Rivadavia 2800,70000,304.0
Calle Vidal 0,70000,131.45
Obispo Gelabert 1800,70000,137.0
Irigoyen Freyre 2200,72000,143.0
Las Heras 6000,72000,100.0
Llerena 2300,72100,120.0
Ruperto Godoy 2000,73000,325.25
Obispo Gelabert 1800,73000,897.0
Monseñor Zazpe 2900,73000,230.0
Pedro Zenteno 2100,73000,213.0
Padre Genesio 1200,73000,64.0
Juan de Garay 4000,73000,677.4
Llerena 2300,73200,381.0
Boulevard los Pinos 0,74000,800.0
Pasaje Barros 3300,74000,177.0
Amenábar 3500,75000,203.0
Chaco 2600,75000,158.0
Pasaje Ramon Lassaga 4500,75000,1240.0
General Ramirez 1000,75000,156.55
Libertad 2100,75000,82.0
Mariano Comas 2500,75000,194.0
Gdor Crespo 2800,75000,916.0
Calle Canillitas 4800,75000,433.0
Ruperto Godoy 3200,75000,905.0
Avenida López y Planes 4300,75000,147.46
Boulevard los Carolinos 0,75000,183.0
Castellanos 2200,75000,200.0
Avenida Gobernador Freyre 2700,75000,500.0
Urquiza 1100,75000,126.0
Sarratea 4700,75000,500.0
Santiago del Estero 2100,75000,208.0
Pasaje 38.5 8800,75000,200.0
Solís 2400,75000,118.0
Pasaje Briggiler 2300,75900,60.0
Avellaneda 5300,76800,313.0
Belgrano 7200,77000,170.0
4 de Enero 2700,78000,247.0
Rivadavia 7500,78000,302.0
Luciano Molinas 1800,78000,177.9
Avenida General Paz 6200,78000,312.0
Juan M de Rosas Esquina Alberti 1200,79000,185.0
4 de Enero 1300,79000,99.0
Azcuénaga 1500,79000,123.0
Pbro. Martínez 1000,79000,233.0
4 de Enero 2700,79000,146.0
Martin Zapata 1800,79000,186.5
Alberdi 6300,79000,140.0
Jujuy 3500,79000,295.0
Belgrano 4700,79000,860.0
Calle 90 0,80000,540.0
Pasaje Koch 3500,80000,150.0
Saavedra 1400,80000,83.0
Dr. Zavalla 1400,80000,200.0
9 de Julio 1900,80000,539.0
Avenida Bartolomé Mitre 1000,80000,184.0
Autopista Rosario 0,80000,234.0
4 de Enero 2700,80000,450.0
Callejón Aguirre 1900,80000,600.0
Crespo 3200,81000,680.0
Rivadavia 2700,82000,178.0
Avenida los Talas 0,82000,200.25
Rivadavia 1200,82000,60.0
Moreno 2900,82000,172.85
Macia 3200,82000,214.0
Rivadavia 2700,82000,450.0
República de Siria 3600,83000,256.0
Francia 1100,84000,76.22
Uruguay 3100,85000,102.0
9 de Julio 1900,85000,125.0
San Lorenzo 2400,85000,600.0
Espora 800,85000,320.0
Saavedra 2000,85000,265.0
Saavedra 1800,85000,296.0
Luciano Molinas 2300,85000,1760.0
Lisandro de la Torre 3100,85000,253.0
Macia 2000,87000,398.0
Aristóbulo del Valle 2400,87000,600.0
Azahar de Monte 0,87000,121.0
Avellaneda 3200,87500,1896.0
25 de Mayo 3200,88000,296.0
Gaboto 2500,88000,369.0
Maciel 1800,88000,87.0
4 de Enero 3700,88000,422.0
Las Heras 5200,88000,227.34
Avenida 7 de Marzo 2300,89000,294.0
Necochea 3800,89000,135.0
3 de Febrero 3500,89000,281.0
Marcial Candioti 7200,89000,510.57
Francia 1100,89000,285.0
Calle Camino Real Santa Rosa 0,90000,2350.0
San Lorenzo 2400,90000,131.2
Necochea 2800,90000,775.34
Remedios de Escalada de San Martín 800,90000,121.0
Gaboto 2300,90000,107.68
25 de Mayo 1900,90000,199.0
Urquiza 1300,90000,361.67
Sarmiento 2700,90000,1100.0
Piedras 7000,90000,458.0
Riobamba 7200,90000,152.0
Avenida Ángel V. Peñaloza 6700,90000,2800.0
Gobernador Vera 3400,92000,1225.0
Avenida Gobernador Freyre 3100,92000,210.95
Frutos 1300,93000,250.0
Los Cítricos y Las Torcazas 0 0,93000,663.0
Autopista Rosario - Santa Fe 0,95000,289.49
Rivadavia 2700,95000,209.0
Uruguay 2700,95000,313.0
Velez Sarsfield 3300,95000,90.0
Lavalle 5300,95000,1260.0
Francia 2400,95000,185.0
Velez Sarsfield 3300,95000,133.0
San Martín 1900,98000,269.0
Hernandarias 3300,98000,186.0
Pasaje Paraguay 2800,98000,305.07
Monseñor Zazpe 2400,98600,1803.0
Monseñor Zazpe 2400,98700,617.0
Maipú 2300,99000,289.49
Montevideo 1400,99000,173.0
Gobernador Vera 3100,99000,250.0
Guatemala y Panamá 0,99000,141.0
Boulevard Gálvez 1200,99000,267.0
Avenida General López 3700,100000,176.0
9 de Julio 1200,100000,675.0
Juan de Garay 2400,100000,501.0
Francia 1200,100000,232.0
San Martín 3600,100000,220.0
Corondás y Callejón de los Canillitas 0,100000,190.0
San José 5100,100000,162.0
Gobernador Vera 3400,100000,675.0
